vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
5.4,-8.3,-4.5,12.339
5.6,-8.7,-5.0,12.341
5.6,-9.3,-5.2,12.427
5.5,-9.4,-5.0,12.428
5.4,-9.7,-4.8,12.43
5.5,-10.8,-5.0,12.432
5.7,-11.6,-5.0,12.433
5.5,-11.7,-5.0,12.529
5.1,-10.9,-4.6,12.531
4.2,-9.8,-4.1,12.533
3.4,-9.7,-4.1,12.535
3.2,-10.5,-4.4,12.536
2.78,-12.098,-3.482,12.623
3.246,-12.441,-3.405,12.625
3.009,-12.71,-3.299,12.626
2.353,-12.368,-2.485,12.628
2.517,-12.129,-1.888,12.63
0.427,-12.362,1.335,12.725
0.251,-11.732,1.381,12.728
-0.106,-11.116,0.723,12.73
-0.181,-10.451,0.232,12.731
-0.299,-9.764,0.163,12.733
0.477,-9.041,-1.757,12.823
0.333,-8.367,-1.967,12.824
0.324,-7.839,-2.076,12.826
0.377,-7.641,-1.857,12.828
0.414,-7.331,-1.553,12.829
-0.411,-6.927,-1.461,12.923
-0.243,-6.446,-1.487,12.925
-0.394,-6.237,-1.67,12.926
-0.351,-6.591,-1.783,12.932
-0.242,-6.985,-1.832,12.934
-0.317,-7.29,-1.791,13.022
-0.227,-7.556,-1.896,13.024
0.382,-7.311,-1.901,13.026
1.146,-7.372,-1.948,13.027
1.481,-8.572,-1.956,13.039
1.957,-9.613,-2.781,13.123
1.653,-10.434,-2.249,13.125
1.636,-10.719,-1.721,13.127
1.964,-9.881,-0.879,13.128
1.226,-9.872,-0.291,13.13
1.0,-10.7,-2.2,13.223
1.233,-11.567,-3.333,13.225
1.367,-12.733,-4.267,13.226
1.022,-13.544,-4.556,13.228
1.82,-12.5,-5.26,13.23
2.586,-11.969,-3.731,13.323
2.914,-11.431,-3.269,13.325
2.992,-10.939,-3.161,13.332
2.763,-10.186,-2.814,13.334
2.629,-9.453,-2.447,13.335
3.8,-8.3,-3.2,13.423
3.8,-8.0,-3.3,13.425
3.8,-7.9,-3.5,13.431
3.8,-7.8,-4.0,13.442
3.9,-7.9,-4.4,13.445
4.1,-8.1,-4.5,13.523
4.3,-8.1,-4.5,13.525
4.3,-7.9,-4.1,13.526
4.1,-7.7,-4.0,13.531
4.2,-8.2,-4.2,13.533
4.5,-8.9,-4.6,13.623
